No DE LIBRO,TITULO DEL LIBRO (MEMORIA INSTITUCIONAL. MI),AUTOR,AÑO
1,"Diagnóstico Ambiental de la Cuenca del Río Sinú. Delimitación, Extensión, Localización y Situación Ambiental de la Cuenca. (POMCA)",CVS/ Fondo Financiero de Proyectos de Desarrollo FONADE.,"2,004"
2,Diagnóstico Ambiental de la Cuenca del Río Sinú. Sistema de Información Geográfico (POMCA),CVS/Fondo Financiero de Proyectos de Desarrollo FONADE,"2,004"
3,Diagnóstico Ambiental de la Cuenca del Río Sinú. Caracterización Físico Biótica (POMCA),CVS/Fondo Financiero de Proyectos de Desarrollo FONADE,"2,004"
4,Diagnóstico Ambiental de la Cuenca de Río Sinú. Caracterización Político Institucional y Socioeconómica de la Cuenca (POMCA), CVS/ Fondo Financiero de Proyectos de Desarrollo FONADE,"2,004"
5,Diagnóstico Ambiental de la Cuenca del Río Sinú. Inventario y caracterización de los recursos naturales renovables de los ecosistemas de la misma. (POMCA),CVS/ Fondo Financiero de Proyectos de Desarrollo FONADE.,"2,004"
6,Diagnóstico Ambiental de la Cuenca Río Sinú.  Caracterización de Recursos Hídricos (POMCA),CVS/Fondo Financiero de Proyectos de Desarrollo FONADE,"2,004"
7,Diagnóstico Ambiental de la Cuenca Río Sinú. Inventario Detallado de los Usuarios y usos Actuales y Potenciales de los Recursos. (POMCA),CVS/ Fondo Financiero de Proyectos de Desarrollo FONADE,"2,004"
8,Diagnóstico Ambiental de la Cuenca Río Sinú .Obras de Infraestructura existente para las actividades Productivas y Domésticas (POMCA),CVS/Fondo Financiero de Proyectos de Desarrollo FONADE,"2,004"
9,Diagnóstico Ambiental de la Cuenca Río Sinú. Inventario Minero de la Cuenca Hidrográfica del Río Sinú (POMCA),CVS/Fondo Financiero de Proyectos de Desarrollo FONADE,"2,004"
10,Diagnóstico Ambiental de la Cuenca Río Sinú. Amenazas Naturales (POMCA),CVS/Fondo Financiero de Proyectos de Desarrollo FONADE,"2,004"
